team,player_id,is_overseas
Chennai Super Kings,Ruturaj Gaikwad,0
Chennai Super Kings,Ayush Mhatre,0
Chennai Super Kings,Sarfaraz Khan,0
Chennai Super Kings,Sanju Samson,0
Chennai Super Kings,MS Dhoni,0
Chennai Super Kings,Urvil Patel,0
Chennai Super Kings,Kartik Sharma,0
Chennai Super Kings,Shivam Dube,0
Chennai Super Kings,Ramakrishna Ghosh,0
Chennai Super Kings,Shreyas Gopal,0
Chennai Super Kings,Aman Khan,0
Chennai Super Kings,Prashant Veer,0
Chennai Super Kings,Rahul Chahar,0
Chennai Super Kings,Khaleel Ahmed,0
Chennai Super Kings,Gurjapneet Singh,0
Chennai Super Kings,Anshul Kamboj,0
Chennai Super Kings,Mukesh Choudhary,0
Chennai Super Kings,Jamie Overton,1
Chennai Super Kings,Dewald Brevis,1
Chennai Super Kings,Matt Short,1
Chennai Super Kings,Spencer Johnson,1
Chennai Super Kings,Zak Foulkes,1
Chennai Super Kings,Matt Henry,1
Chennai Super Kings,Noor Ahmad,1
Chennai Super Kings,Akeal Hosein,1
Delhi Capitals,Axar Patel,0
Delhi Capitals,Prithvi Shaw,0
Delhi Capitals,Karun Nair,0
Delhi Capitals,Nitish Rana,0
Delhi Capitals,Ashutosh Sharma,0
Delhi Capitals,Sameer Rizvi,0
Delhi Capitals,Sahil Parakh,0
Delhi Capitals,KL Rahul,0
Delhi Capitals,Abishek Porel,0
Delhi Capitals,Vipraj Nigam,0
Delhi Capitals,Auqib Nabi,0
Delhi Capitals,Madhav Tiwari,0
Delhi Capitals,T Vijay,0
Delhi Capitals,Ajay Mandal,0
Delhi Capitals,Kuldeep Yadav,0
Delhi Capitals,Mukesh Kumar,0
Delhi Capitals,T Natarajan,0
Delhi Capitals,Mitchell Starc,1
Delhi Capitals,Pathum Nissanka,1
Delhi Capitals,Dushmantha Chameera,1
Delhi Capitals,Lungi Ngidi,1
Delhi Capitals,David Miller,1
Delhi Capitals,Tristan Stubbs,1
Delhi Capitals,Kyle Jamieson,1
Gujarat Titans,Shubman Gill,0
Gujarat Titans,Sai Sudharsan,0
Gujarat Titans,Shahrukh Khan,0
Gujarat Titans,Anuj Rawat,0
Gujarat Titans,Kumar Kushagra,0
Gujarat Titans,Washington Sundar,0
Gujarat Titans,Manav Suthar,0
Gujarat Titans,Rahul Tewatia,0
Gujarat Titans,Nishant Sindhu,0
Gujarat Titans,Jayant Yadav,0
Gujarat Titans,Arshad Khan,0
Gujarat Titans,Sai Kishore,0
Gujarat Titans,Mohammed Siraj,0
Gujarat Titans,Prasidh Krishna,0
Gujarat Titans,Gurnoor Brar,0
Gujarat Titans,Ishant Sharma,0
Gujarat Titans,Ashok Sharma,0
Gujarat Titans,Kulwant Khejroliya,0
Gujarat Titans,Jos Buttler,1
Gujarat Titans,Tom Banton,1
Gujarat Titans,Luke Wood,1
Gujarat Titans,Glenn Phillips,1
Gujarat Titans,Jason Holder,1
Gujarat Titans,Rashid Khan,1
Gujarat Titans,Kagiso Rabada,1
Kolkata Knight Riders,Ajinkya Rahane,0
Kolkata Knight Riders,Angkrish Raghuvanshi,0
Kolkata Knight Riders,Manish Pandey,0
Kolkata Knight Riders,Rahul Tripathi,0
Kolkata Knight Riders,Rinku Singh,0
Kolkata Knight Riders,Tejasvi Dahiya,0
Kolkata Knight Riders,Anukul Roy,0
Kolkata Knight Riders,Daksh Kamra,0
Kolkata Knight Riders,Ramandeep Singh,0
Kolkata Knight Riders,Sarthak Ranjan,0
Kolkata Knight Riders,Prashant Solanki,0
Kolkata Knight Riders,Varun Chakravarthy,0
Kolkata Knight Riders,Kartik Tyagi,0
Kolkata Knight Riders,Umran Malik,0
Kolkata Knight Riders,Vaibhav Arora,0
Kolkata Knight Riders,Saurabh Dubey,0
Kolkata Knight Riders,Navdeep Saini,0
Kolkata Knight Riders,Cameron Green,1
Kolkata Knight Riders,Rovman Powell,1
Kolkata Knight Riders,Sunil Narine,1
Kolkata Knight Riders,Finn Allen,1
Kolkata Knight Riders,Rachin Ravindra,1
Kolkata Knight Riders,Tim Seifert,1
Kolkata Knight Riders,Matheesha Pathirana,1
Kolkata Knight Riders,Blessing Muzarabani,1
Lucknow Super Giants,Rishabh Pant,0
Lucknow Super Giants,Abdul Samad,0
Lucknow Super Giants,Ayush Badoni,0
Lucknow Super Giants,Himmat Singh,0
Lucknow Super Giants,Akshat Raghuwanshi,0
Lucknow Super Giants,Mukul Choudhary,0
Lucknow Super Giants,Arshin Kulkarni,0
Lucknow Super Giants,Shahbaz Ahmed,0
Lucknow Super Giants,Digvesh Rathi,0
Lucknow Super Giants,M Siddharth,0
Lucknow Super Giants,Akash Singh,0
Lucknow Super Giants,Avesh Khan,0
Lucknow Super Giants,Mohammed Shami,0
Lucknow Super Giants,Mohsin Khan,0
Lucknow Super Giants,Prince Yadav,0
Lucknow Super Giants,Arjun Tendulkar,0
Lucknow Super Giants,Mayank Yadav,0
Lucknow Super Giants,Naman Tiwari,0
Lucknow Super Giants,Matthew Breetzke,1
Lucknow Super Giants,Aiden Markram,1
Lucknow Super Giants,Anrich Nortje,1
Lucknow Super Giants,Nicholas Pooran,1
Lucknow Super Giants,Josh Inglis,1
Lucknow Super Giants,Mitchell Marsh,1
Lucknow Super Giants,Wanindu Hasaranga,1
Mumbai Indians,Hardik Pandya,0
Mumbai Indians,Rohit Sharma,0
Mumbai Indians,Suryakumar Yadav,0
Mumbai Indians,Danish Malewar,0
Mumbai Indians,Robin Minz,0
Mumbai Indians,Shardul Thakur,0
Mumbai Indians,Naman Dhir,0
Mumbai Indians,Raj Bawa,0
Mumbai Indians,Tilak Varma,0
Mumbai Indians,Mayank Markande,0
Mumbai Indians,Raghu Sharma,0
Mumbai Indians,Ashwani Kumar,0
Mumbai Indians,Deepak Chahar,0
Mumbai Indians,Jasprit Bumrah,0
Mumbai Indians,Mohammed Izhar,0
Mumbai Indians,Mayank Rawat,0
Mumbai Indians,Will Jacks,1
Mumbai Indians,Ryan Rickelton,1
Mumbai Indians,Quinton de Kock,1
Mumbai Indians,Corbin Bosch,1
Mumbai Indians,Sherfane Rutherford,1
Mumbai Indians,Mitchell Santner,1
Mumbai Indians,Trent Boult,1
Mumbai Indians,AM Ghazanfar,1
Punjab Kings,Shreyas Iyer,0
Punjab Kings,Harnoor Singh,0
Punjab Kings,Nehal Wadhera,0
Punjab Kings,Priyansh Arya,0
Punjab Kings,Pyla Avinash,0
Punjab Kings,Prabhsimran Singh,0
Punjab Kings,Vishnu Vinod,0
Punjab Kings,Harpreet Brar,0
Punjab Kings,Musheer Khan,0
Punjab Kings,Shashank Singh,0
Punjab Kings,Suryansh Shedge,0
Punjab Kings,Praveen Dubey,0
Punjab Kings,Yuzvendra Chahal,0
Punjab Kings,Arshdeep Singh,0
Punjab Kings,Vijaykumar Vyshak,0
Punjab Kings,Vishal Nishad,0
Punjab Kings,Yash Thakur,0
Punjab Kings,Azmatullah Omarzai,1
Punjab Kings,Ben Dwarshuis,1
Punjab Kings,Cooper Connolly,1
Punjab Kings,Marcus Stoinis,1
Punjab Kings,Mitchell Owen,1
Punjab Kings,Xavier Bartlett,1
Punjab Kings,Marco Jansen,1
Punjab Kings,Lockie Ferguson,1
Rajasthan Royals,Riyan Parag,0
Rajasthan Royals,Shubham Dubey,0
Rajasthan Royals,Vaibhav Suryavanshi,0
Rajasthan Royals,Yashasvi Jaiswal,0
Rajasthan Royals,Aman Rao,0
Rajasthan Royals,Dhruv Jurel,0
Rajasthan Royals,Ravi Singh,0
Rajasthan Royals,Ravindra Jadeja,0
Rajasthan Royals,Yudhvir Singh,0
Rajasthan Royals,Ravi Bishnoi,0
Rajasthan Royals,Yash Raj Punja,0
Rajasthan Royals,Vignesh Puthur,0
Rajasthan Royals,Sandeep Sharma,0
Rajasthan Royals,Tushar Deshpande,0
Rajasthan Royals,Sushant Mishra,0
Rajasthan Royals,Kuldeep Sen,0
Rajasthan Royals,Brijesh Sharma,0
Rajasthan Royals,Jofra Archer,1
Rajasthan Royals,Lhuan-dre Pretorius,1
Rajasthan Royals,Donovan Ferreira,1
Rajasthan Royals,Kwena Maphaka,1
Rajasthan Royals,Nandre Burger,1
Rajasthan Royals,Adam Milne,1
Rajasthan Royals,Shimron Hetmyer,1
Rajasthan Royals,Dasun Shanaka,1
Royal Challengers Bengaluru,Rajat Patidar,0
Royal Challengers Bengaluru,Virat Kohli,0
Royal Challengers Bengaluru,Devdutt Padikkal,0
Royal Challengers Bengaluru,Jitesh Sharma,0
Royal Challengers Bengaluru,Venkatesh Iyer,0
Royal Challengers Bengaluru,Krunal Pandya,0
Royal Challengers Bengaluru,Swapnil Singh,0
Royal Challengers Bengaluru,Satwik Deswal,0
Royal Challengers Bengaluru,Kanish Chouhan,0
Royal Challengers Bengaluru,Vihaan Malhotra,0
Royal Challengers Bengaluru,Vicky Ostwal,0
Royal Challengers Bengaluru,Suyash Sharma,0
Royal Challengers Bengaluru,Bhuvneshwar Kumar,0
Royal Challengers Bengaluru,Rasikh Salam,0
Royal Challengers Bengaluru,Mangesh Yadav,0
Royal Challengers Bengaluru,Abhinandan Singh,0
Royal Challengers Bengaluru,Jacob Bethell,1
Royal Challengers Bengaluru,Phil Salt,1
Royal Challengers Bengaluru,Jordan Cox,1
Royal Challengers Bengaluru,Josh Hazlewood,1
Royal Challengers Bengaluru,Tim David,1
Royal Challengers Bengaluru,Romario Shepherd,1
Royal Challengers Bengaluru,Jacob Duffy,1
Royal Challengers Bengaluru,Nuwan Thushara,1
Sunrisers Hyderabad,Pat Cummins,1
Sunrisers Hyderabad,Ishan Kishan,0
Sunrisers Hyderabad,Aniket Verma,0
Sunrisers Hyderabad,R Smaran,0
Sunrisers Hyderabad,Salil Arora,0
Sunrisers Hyderabad,Abhishek Sharma,0
Sunrisers Hyderabad,Nitish Kumar Reddy,0
Sunrisers Hyderabad,Harshal Patel,0
Sunrisers Hyderabad,Harsh Dubey,0
Sunrisers Hyderabad,Shivang Kumar,0
Sunrisers Hyderabad,Krains Fuletra,0
Sunrisers Hyderabad,Zeeshan Ansari,0
Sunrisers Hyderabad,Amit Kumar,0
Sunrisers Hyderabad,Jaydev Unadkat,0
Sunrisers Hyderabad,Shivam Mavi,0
Sunrisers Hyderabad,Onkar Tarmale,0
Sunrisers Hyderabad,Sakib Hussain,0
Sunrisers Hyderabad,Praful Hinge,0
Sunrisers Hyderabad,Liam Livingstone,1
Sunrisers Hyderabad,Brydon Carse,1
Sunrisers Hyderabad,David Payne,1
Sunrisers Hyderabad,Travis Head,1
Sunrisers Hyderabad,Heinrich Klaasen,1
Sunrisers Hyderabad,Kamindu Mendis,1
Sunrisers Hyderabad,Eshan Malinga,1
