team,squad_player_name,stats_player_id,resolution_method
Chennai Super Kings,Ruturaj Gaikwad,Ruturaj Gaikwad,alias
Chennai Super Kings,Ayush Mhatre,Ayush Mhatre,alias
Chennai Super Kings,Sarfaraz Khan,Sarfaraz Khan,alias
Chennai Super Kings,Sanju Samson,Sanju Samson,alias
Chennai Super Kings,MS Dhoni,MS Dhoni,alias
Chennai Super Kings,Urvil Patel,Urvil Patel,alias
Chennai Super Kings,Kartik Sharma,Kartik Sharma,alias
Chennai Super Kings,Shivam Dube,Shivam Dube,alias
Chennai Super Kings,Ramakrishna Ghosh,Ramakrishna Ghosh,alias
Chennai Super Kings,Shreyas Gopal,Shreyas Gopal,alias
Chennai Super Kings,Aman Khan,Aman Khan,alias
Chennai Super Kings,Prashant Veer,Prashant Veer,alias
Chennai Super Kings,Rahul Chahar,Rahul Chahar,alias
Chennai Super Kings,Khaleel Ahmed,Khaleel Ahmed,alias
Chennai Super Kings,Gurjapneet Singh,Gurjapneet Singh,alias
Chennai Super Kings,Anshul Kamboj,Anshul Kamboj,alias
Chennai Super Kings,Mukesh Choudhary,Mukesh Choudhary,alias
Chennai Super Kings,Jamie Overton,Jamie Overton,alias
Chennai Super Kings,Dewald Brevis,Dewald Brevis,alias
Chennai Super Kings,Matt Short,Matt Short,alias
Chennai Super Kings,Spencer Johnson,Spencer Johnson,alias
Chennai Super Kings,Zak Foulkes,Zak Foulkes,alias
Chennai Super Kings,Matt Henry,Matt Henry,alias
Chennai Super Kings,Noor Ahmad,Noor Ahmad,alias
Chennai Super Kings,Akeal Hosein,Akeal Hosein,alias
Delhi Capitals,Axar Patel,Axar Patel,alias
Delhi Capitals,Prithvi Shaw,Prithvi Shaw,alias
Delhi Capitals,Karun Nair,Karun Nair,alias
Delhi Capitals,Nitish Rana,Nitish Rana,alias
Delhi Capitals,Ashutosh Sharma,Ashutosh Sharma,alias
Delhi Capitals,Sameer Rizvi,Sameer Rizvi,alias
Delhi Capitals,Sahil Parakh,Sahil Parakh,alias
Delhi Capitals,KL Rahul,KL Rahul,alias
Delhi Capitals,Abishek Porel,Abishek Porel,alias
Delhi Capitals,Vipraj Nigam,Vipraj Nigam,alias
Delhi Capitals,Auqib Nabi,Auqib Nabi,alias
Delhi Capitals,Madhav Tiwari,Madhav Tiwari,alias
Delhi Capitals,T Vijay,T Vijay,alias
Delhi Capitals,Ajay Mandal,Ajay Mandal,alias
Delhi Capitals,Kuldeep Yadav,Kuldeep Yadav,alias
Delhi Capitals,Mukesh Kumar,Mukesh Kumar,alias
Delhi Capitals,T Natarajan,T Natarajan,alias
Delhi Capitals,Mitchell Starc,Mitchell Starc,alias
Delhi Capitals,Pathum Nissanka,Pathum Nissanka,alias
Delhi Capitals,Dushmantha Chameera,Dushmantha Chameera,alias
Delhi Capitals,Lungi Ngidi,Lungi Ngidi,alias
Delhi Capitals,David Miller,David Miller,alias
Delhi Capitals,Tristan Stubbs,Tristan Stubbs,alias
Delhi Capitals,Kyle Jamieson,Kyle Jamieson,alias
Gujarat Titans,Shubman Gill,Shubman Gill,alias
Gujarat Titans,Sai Sudharsan,Sai Sudharsan,alias
Gujarat Titans,Shahrukh Khan,Shahrukh Khan,alias
Gujarat Titans,Anuj Rawat,Anuj Rawat,alias
Gujarat Titans,Kumar Kushagra,Kumar Kushagra,alias
Gujarat Titans,Washington Sundar,Washington Sundar,alias
Gujarat Titans,Manav Suthar,Manav Suthar,alias
Gujarat Titans,Rahul Tewatia,Rahul Tewatia,alias
Gujarat Titans,Nishant Sindhu,Nishant Sindhu,alias
Gujarat Titans,Jayant Yadav,Jayant Yadav,alias
Gujarat Titans,Arshad Khan,Arshad Khan,alias
Gujarat Titans,Sai Kishore,Sai Kishore,alias
Gujarat Titans,Mohammed Siraj,Mohammed Siraj,alias
Gujarat Titans,Prasidh Krishna,Prasidh Krishna,alias
Gujarat Titans,Gurnoor Brar,Gurnoor Brar,alias
Gujarat Titans,Ishant Sharma,Ishant Sharma,alias
Gujarat Titans,Ashok Sharma,Ashok Sharma,alias
Gujarat Titans,Kulwant Khejroliya,Kulwant Khejroliya,alias
Gujarat Titans,Jos Buttler,Jos Buttler,alias
Gujarat Titans,Tom Banton,Tom Banton,alias
Gujarat Titans,Luke Wood,Luke Wood,alias
Gujarat Titans,Glenn Phillips,Glenn Phillips,alias
Gujarat Titans,Jason Holder,Jason Holder,alias
Gujarat Titans,Rashid Khan,Rashid Khan,alias
Gujarat Titans,Kagiso Rabada,Kagiso Rabada,alias
Kolkata Knight Riders,Ajinkya Rahane,Ajinkya Rahane,alias
Kolkata Knight Riders,Angkrish Raghuvanshi,Angkrish Raghuvanshi,alias
Kolkata Knight Riders,Manish Pandey,Manish Pandey,alias
Kolkata Knight Riders,Rahul Tripathi,Rahul Tripathi,alias
Kolkata Knight Riders,Rinku Singh,Rinku Singh,alias
Kolkata Knight Riders,Tejasvi Dahiya,Tejasvi Dahiya,alias
Kolkata Knight Riders,Anukul Roy,AS Roy,alias
Kolkata Knight Riders,Daksh Kamra,Daksh Kamra,alias
Kolkata Knight Riders,Ramandeep Singh,Ramandeep Singh,alias
Kolkata Knight Riders,Sarthak Ranjan,Sarthak Ranjan,alias
Kolkata Knight Riders,Prashant Solanki,Prashant Solanki,alias
Kolkata Knight Riders,Varun Chakravarthy,CV Varun,alias
Kolkata Knight Riders,Kartik Tyagi,Kartik Tyagi,alias
Kolkata Knight Riders,Umran Malik,Umran Malik,alias
Kolkata Knight Riders,Vaibhav Arora,Vaibhav Arora,alias
Kolkata Knight Riders,Saurabh Dubey,Saurabh Dubey,alias
Kolkata Knight Riders,Navdeep Saini,Navdeep Saini,alias
Kolkata Knight Riders,Cameron Green,Cameron Green,alias
Kolkata Knight Riders,Rovman Powell,Rovman Powell,alias
Kolkata Knight Riders,Sunil Narine,Sunil Narine,alias
Kolkata Knight Riders,Finn Allen,Finn Allen,alias
Kolkata Knight Riders,Rachin Ravindra,Rachin Ravindra,alias
Kolkata Knight Riders,Tim Seifert,Tim Seifert,alias
Kolkata Knight Riders,Matheesha Pathirana,Matheesha Pathirana,alias
Kolkata Knight Riders,Blessing Muzarabani,B Muzarabani,alias
Lucknow Super Giants,Rishabh Pant,Rishabh Pant,alias
Lucknow Super Giants,Abdul Samad,Abdul Samad,alias
Lucknow Super Giants,Ayush Badoni,Ayush Badoni,alias
Lucknow Super Giants,Himmat Singh,Himmat Singh,alias
Lucknow Super Giants,Akshat Raghuwanshi,Akshat Raghuwanshi,alias
Lucknow Super Giants,Mukul Choudhary,Mukul Choudhary,alias
Lucknow Super Giants,Arshin Kulkarni,Arshin Kulkarni,alias
Lucknow Super Giants,Shahbaz Ahmed,Shahbaz Ahmed,alias
Lucknow Super Giants,Digvesh Rathi,Digvesh Rathi,alias
Lucknow Super Giants,M Siddharth,M Siddharth,alias
Lucknow Super Giants,Akash Singh,Akash Singh,alias
Lucknow Super Giants,Avesh Khan,Avesh Khan,alias
Lucknow Super Giants,Mohammed Shami,Mohammed Shami,alias
Lucknow Super Giants,Mohsin Khan,Mohsin Khan,alias
Lucknow Super Giants,Prince Yadav,Prince Yadav,alias
Lucknow Super Giants,Arjun Tendulkar,Arjun Tendulkar,alias
Lucknow Super Giants,Mayank Yadav,Mayank Yadav,alias
Lucknow Super Giants,Naman Tiwari,Naman Tiwari,alias
Lucknow Super Giants,Matthew Breetzke,Matthew Breetzke,alias
Lucknow Super Giants,Aiden Markram,Aiden Markram,alias
Lucknow Super Giants,Anrich Nortje,Anrich Nortje,alias
Lucknow Super Giants,Nicholas Pooran,Nicholas Pooran,alias
Lucknow Super Giants,Josh Inglis,Josh Inglis,alias
Lucknow Super Giants,Mitchell Marsh,Mitchell Marsh,alias
Lucknow Super Giants,Wanindu Hasaranga,Wanindu Hasaranga,alias
Mumbai Indians,Hardik Pandya,Hardik Pandya,alias
Mumbai Indians,Rohit Sharma,Rohit Sharma,alias
Mumbai Indians,Suryakumar Yadav,Suryakumar Yadav,alias
Mumbai Indians,Danish Malewar,Danish Malewar,alias
Mumbai Indians,Robin Minz,Robin Minz,alias
Mumbai Indians,Shardul Thakur,SN Thakur,alias
Mumbai Indians,Naman Dhir,Naman Dhir,alias
Mumbai Indians,Raj Bawa,Raj Bawa,alias
Mumbai Indians,Tilak Varma,Tilak Varma,alias
Mumbai Indians,Mayank Markande,Mayank Markande,alias
Mumbai Indians,Raghu Sharma,Raghu Sharma,alias
Mumbai Indians,Ashwani Kumar,Ashwani Kumar,alias
Mumbai Indians,Deepak Chahar,Deepak Chahar,alias
Mumbai Indians,Jasprit Bumrah,Jasprit Bumrah,alias
Mumbai Indians,Mohammed Izhar,Mohammed Izhar,alias
Mumbai Indians,Mayank Rawat,Mayank Rawat,alias
Mumbai Indians,Will Jacks,Will Jacks,alias
Mumbai Indians,Ryan Rickelton,Ryan Rickelton,alias
Mumbai Indians,Quinton de Kock,Quinton de Kock,alias
Mumbai Indians,Corbin Bosch,Corbin Bosch,alias
Mumbai Indians,Sherfane Rutherford,Sherfane Rutherford,alias
Mumbai Indians,Mitchell Santner,Mitchell Santner,alias
Mumbai Indians,Trent Boult,Trent Boult,alias
Mumbai Indians,AM Ghazanfar,AM Ghazanfar,alias
Punjab Kings,Shreyas Iyer,Shreyas Iyer,alias
Punjab Kings,Harnoor Singh,Harnoor Singh,alias
Punjab Kings,Nehal Wadhera,Nehal Wadhera,alias
Punjab Kings,Priyansh Arya,Priyansh Arya,alias
Punjab Kings,Pyla Avinash,Pyla Avinash,alias
Punjab Kings,Prabhsimran Singh,Prabhsimran Singh,alias
Punjab Kings,Vishnu Vinod,Vishnu Vinod,alias
Punjab Kings,Harpreet Brar,Harpreet Brar,alias
Punjab Kings,Musheer Khan,Musheer Khan,alias
Punjab Kings,Shashank Singh,Shashank Singh,alias
Punjab Kings,Suryansh Shedge,Suryansh Shedge,alias
Punjab Kings,Praveen Dubey,Praveen Dubey,alias
Punjab Kings,Yuzvendra Chahal,Yuzvendra Chahal,alias
Punjab Kings,Arshdeep Singh,Arshdeep Singh,alias
Punjab Kings,Vijaykumar Vyshak,Vijaykumar Vyshak,alias
Punjab Kings,Vishal Nishad,Vishal Nishad,alias
Punjab Kings,Yash Thakur,Yash Thakur,alias
Punjab Kings,Azmatullah Omarzai,Azmatullah Omarzai,alias
Punjab Kings,Ben Dwarshuis,Ben Dwarshuis,alias
Punjab Kings,Cooper Connolly,Cooper Connolly,alias
Punjab Kings,Marcus Stoinis,Marcus Stoinis,alias
Punjab Kings,Mitchell Owen,Mitchell Owen,alias
Punjab Kings,Xavier Bartlett,Xavier Bartlett,alias
Punjab Kings,Marco Jansen,Marco Jansen,alias
Punjab Kings,Lockie Ferguson,Lockie Ferguson,alias
Rajasthan Royals,Riyan Parag,Riyan Parag,alias
Rajasthan Royals,Shubham Dubey,Shubham Dubey,alias
Rajasthan Royals,Vaibhav Suryavanshi,Vaibhav Suryavanshi,alias
Rajasthan Royals,Yashasvi Jaiswal,Yashasvi Jaiswal,alias
Rajasthan Royals,Aman Rao,Aman Rao,alias
Rajasthan Royals,Dhruv Jurel,Dhruv Jurel,alias
Rajasthan Royals,Ravi Singh,Ravi Singh,alias
Rajasthan Royals,Ravindra Jadeja,Ravindra Jadeja,alias
Rajasthan Royals,Yudhvir Singh,Yudhvir Singh,alias
Rajasthan Royals,Ravi Bishnoi,Ravi Bishnoi,alias
Rajasthan Royals,Yash Raj Punja,Yash Raj Punja,alias
Rajasthan Royals,Vignesh Puthur,Vignesh Puthur,alias
Rajasthan Royals,Sandeep Sharma,Sandeep Sharma,alias
Rajasthan Royals,Tushar Deshpande,Tushar Deshpande,alias
Rajasthan Royals,Sushant Mishra,Sushant Mishra,alias
Rajasthan Royals,Kuldeep Sen,Kuldeep Sen,alias
Rajasthan Royals,Brijesh Sharma,Brijesh Sharma,alias
Rajasthan Royals,Jofra Archer,Jofra Archer,alias
Rajasthan Royals,Lhuan-dre Pretorius,Lhuan-dre Pretorius,alias
Rajasthan Royals,Donovan Ferreira,Donovan Ferreira,alias
Rajasthan Royals,Kwena Maphaka,Kwena Maphaka,alias
Rajasthan Royals,Nandre Burger,Nandre Burger,alias
Rajasthan Royals,Adam Milne,Adam Milne,alias
Rajasthan Royals,Shimron Hetmyer,Shimron Hetmyer,alias
Rajasthan Royals,Dasun Shanaka,Dasun Shanaka,alias
Royal Challengers Bengaluru,Rajat Patidar,RM Patidar,alias
Royal Challengers Bengaluru,Virat Kohli,V Kohli,alias
Royal Challengers Bengaluru,Devdutt Padikkal,Devdutt Padikkal,alias
Royal Challengers Bengaluru,Jitesh Sharma,JM Sharma,alias
Royal Challengers Bengaluru,Venkatesh Iyer,Venkatesh Iyer,alias
Royal Challengers Bengaluru,Krunal Pandya,KH Pandya,alias
Royal Challengers Bengaluru,Swapnil Singh,Swapnil Singh,alias
Royal Challengers Bengaluru,Satwik Deswal,Satwik Deswal,alias
Royal Challengers Bengaluru,Kanish Chouhan,Kanish Chouhan,alias
Royal Challengers Bengaluru,Vihaan Malhotra,Vihaan Malhotra,alias
Royal Challengers Bengaluru,Vicky Ostwal,Vicky Ostwal,alias
Royal Challengers Bengaluru,Suyash Sharma,Suyash Sharma,alias
Royal Challengers Bengaluru,Bhuvneshwar Kumar,B Kumar,alias
Royal Challengers Bengaluru,Rasikh Salam,Rasikh Salam,alias
Royal Challengers Bengaluru,Mangesh Yadav,Mangesh Yadav,alias
Royal Challengers Bengaluru,Abhinandan Singh,Abhinandan Singh,alias
Royal Challengers Bengaluru,Jacob Bethell,Jacob Bethell,alias
Royal Challengers Bengaluru,Phil Salt,PD Salt,alias
Royal Challengers Bengaluru,Jordan Cox,Jordan Cox,alias
Royal Challengers Bengaluru,Josh Hazlewood,JR Hazlewood,alias
Royal Challengers Bengaluru,Tim David,TH David,alias
Royal Challengers Bengaluru,Romario Shepherd,R Shepherd,alias
Royal Challengers Bengaluru,Jacob Duffy,Jacob Duffy,alias
Royal Challengers Bengaluru,Nuwan Thushara,Nuwan Thushara,alias
Sunrisers Hyderabad,Pat Cummins,Pat Cummins,alias
Sunrisers Hyderabad,Ishan Kishan,Ishan Kishan,alias
Sunrisers Hyderabad,Aniket Verma,Aniket Verma,alias
Sunrisers Hyderabad,R Smaran,R Smaran,alias
Sunrisers Hyderabad,Salil Arora,Salil Arora,alias
Sunrisers Hyderabad,Abhishek Sharma,Abhishek Sharma,alias
Sunrisers Hyderabad,Nitish Kumar Reddy,Nithish Kumar Reddy,alias
Sunrisers Hyderabad,Harshal Patel,HV Patel,alias
Sunrisers Hyderabad,Harsh Dubey,Harsh Dubey,alias
Sunrisers Hyderabad,Shivang Kumar,Shivang Kumar,alias
Sunrisers Hyderabad,Krains Fuletra,Krains Fuletra,alias
Sunrisers Hyderabad,Zeeshan Ansari,Zeeshan Ansari,alias
Sunrisers Hyderabad,Amit Kumar,Amit Kumar,alias
Sunrisers Hyderabad,Jaydev Unadkat,JD Unadkat,alias
Sunrisers Hyderabad,Shivam Mavi,Shivam Mavi,alias
Sunrisers Hyderabad,Onkar Tarmale,Onkar Tarmale,alias
Sunrisers Hyderabad,Sakib Hussain,Sakib Hussain,alias
Sunrisers Hyderabad,Praful Hinge,Praful Hinge,alias
Sunrisers Hyderabad,Liam Livingstone,Liam Livingstone,alias
Sunrisers Hyderabad,Brydon Carse,Brydon Carse,alias
Sunrisers Hyderabad,David Payne,David Payne,alias
Sunrisers Hyderabad,Travis Head,TM Head,alias
Sunrisers Hyderabad,Heinrich Klaasen,H Klaasen,alias
Sunrisers Hyderabad,Kamindu Mendis,Kamindu Mendis,alias
Sunrisers Hyderabad,Eshan Malinga,E Malinga,alias
