canonical_id,primary_name,notes
A Badoni,A Badoni,
A Kamboj,A Kamboj,
A Manohar,A Manohar,
A Mhatre,A Mhatre,
A Mishra,A Mishra,
A Nortje,A Nortje,
A Raghuvanshi,A Raghuvanshi,
A Tomar,A Tomar,
A Zampa,A Zampa,
AA Kulkarni,AA Kulkarni,
AB de Villiers,AB de Villiers,
AD Russell,AD Russell,
AF Milne,AF Milne,
AJ Finch,AJ Finch,
AJ Hosein,AJ Hosein,
AJ Turner,AJ Turner,
AJ Tye,AJ Tye,
AK Markram,AK Markram,
AM Ghazanfar,AM Ghazanfar,
AM Rahane,AM Rahane,
AR Patel,AR Patel,
AS Joseph,AS Joseph,
AS Rajpoot,AS Rajpoot,
AS Roy,AS Roy,
AT Carey,AT Carey,
AT Rayudu,AT Rayudu,
AU Rashid,AU Rashid,
Abdul Basith,Abdul Basith,
Abdul Samad,Abdul Samad,
Abhishek Sharma,Abhishek Sharma,
Abishek Porel,Abishek Porel,
Adil Rashid,Adil Rashid,
Aiden Markram,Aiden Markram,
Akash Deep,Akash Deep,
Akash Madhwal,Akash Madhwal,
Akash Singh,Akash Singh,
Aman Hakim Khan,Aman Hakim Khan,
Aniket Verma,Aniket Verma,
Anmolpreet Singh,Anmolpreet Singh,
Anuj Rawat,Anuj Rawat,
Arjun Tendulkar,Arjun Tendulkar,
Arshad Khan,Arshad Khan,
Arshad Khan (2),Arshad Khan (2),
Arshdeep Singh,Arshdeep Singh,
Ashutosh Sharma,Ashutosh Sharma,
Ashwani Kumar,Ashwani Kumar,
Atharva Taide,Atharva Taide,
Avesh Khan,Avesh Khan,
Azmatullah Omarzai,Azmatullah Omarzai,
B Indrajith,B Indrajith,
B Kumar,B Kumar,
B Muzarabani,B Muzarabani,
B Sai Sudharsan,B Sai Sudharsan,
BA Stokes,BA Stokes,
BKG Mendis,BKG Mendis,
BR Sharath,BR Sharath,
Basil Thampi,Basil Thampi,
C Bosch,C Bosch,
C Green,C Green,
C Sakariya,C Sakariya,
CA Lynn,CA Lynn,
CH Gayle,CH Gayle,
CH Morris,CH Morris,
CJ Green,CJ Green,
CJ Jordan,CJ Jordan,
CR Woakes,CR Woakes,
CV Varun,CV Varun,
D Brevis,D Brevis,
D Ferreira,D Ferreira,
D Jansen,D Jansen,
D Padikkal,D Padikkal,
D Pretorius,D Pretorius,
D Wiese,D Wiese,
DA Miller,DA Miller,
DA Warner,DA Warner,
DG Nalkande,DG Nalkande,
DJ Bravo,DJ Bravo,
DJ Hooda,DJ Hooda,
DJ Malan,DJ Malan,
DJ Mitchell,DJ Mitchell,
DJ Willey,DJ Willey,
DL Chahar,DL Chahar,
DP Conway,DP Conway,
DR Sams,DR Sams,
DS Kulkarni,DS Kulkarni,
DS Rathi,DS Rathi,
DT Christian,DT Christian,
DW Steyn,DW Steyn,
Daryl Mitchell,Daryl Mitchell,
David Miller,David Miller,
Dewald Brevis,Dewald Brevis,
Dhruv Jurel,Dhruv Jurel,
E Lewis,E Lewis,
E Malinga,E Malinga,
EJG Morgan,EJG Morgan,
F du Plessis,F du Plessis,
FA Allen,FA Allen,
Fazalhaq Farooqi,Fazalhaq Farooqi,
Finn Allen,Finn Allen,
G Coetzee,G Coetzee,
GD Phillips,GD Phillips,
GHS Garton,GHS Garton,
GJ Maxwell,GJ Maxwell,
Glenn Phillips,Glenn Phillips,
Gulbadin Naib,Gulbadin Naib,
Gurkeerat Singh,Gurkeerat Singh,
Gurnoor Brar,Gurnoor Brar,
H Klaasen,H Klaasen,
H Sharma,H Sharma,
HC Brook,HC Brook,
HE van der Dussen,HE van der Dussen,
HH Pandya,HH Pandya,
HR Shokeen,HR Shokeen,
HV Patel,HV Patel,
Harbhajan Singh,Harbhajan Singh,
Hardik Pandya,Hardik Pandya,
Harpreet Brar,Harpreet Brar,
Harpreet Singh,Harpreet Singh,
Harry Brook,Harry Brook,
Harsh Dubey,Harsh Dubey,
Harshit Rana,Harshit Rana,
I Sharma,I Sharma,
I Udana,I Udana,
IC Porel,IC Porel,
Imran Tahir,Imran Tahir,
Ishan Kishan,Ishan Kishan,
J Fraser-McGurk,J Fraser-McGurk,
J Little,J Little,
J Overton,J Overton,
J Suchith,J Suchith,
J Yadav,J Yadav,
JA Richardson,JA Richardson,
JC Archer,JC Archer,
JC Buttler,JC Buttler,
JD Unadkat,JD Unadkat,
JDS Neesham,JDS Neesham,
JE Root,JE Root,
JG Bethell,JG Bethell,
JJ Bumrah,JJ Bumrah,
JJ Roy,JJ Roy,
JL Pattinson,JL Pattinson,
JM Bairstow,JM Bairstow,
JM Sharma,JM Sharma,
JO Holder,JO Holder,
JP Behrendorff,JP Behrendorff,
JP Inglis,JP Inglis,
JR Hazlewood,JR Hazlewood,
JR Philippe,JR Philippe,
Jacob Bethell,Jacob Bethell,
Jacob Duffy,Jacob Duffy,
Jalaj S Saxena,Jalaj S Saxena,
James Neesham,James Neesham,
Jos Buttler,Jos Buttler,
K Gowtham,K Gowtham,
K Kartikeya,K Kartikeya,
K Khejroliya,K Khejroliya,
K Rabada,K Rabada,
K Yadav,K Yadav,
KA Jamieson,KA Jamieson,
KA Maharaj,KA Maharaj,
KA Pollard,KA Pollard,
KD Karthik,KD Karthik,
KH Pandya,KH Pandya,
KK Ahmed,KK Ahmed,
KK Nair,KK Nair,
KL Nagarkoti,KL Nagarkoti,
KL Rahul,KL Rahul,
KM Asif,KM Asif,
KM Jadhav,KM Jadhav,
KR Mayers,KR Mayers,
KR Sen,KR Sen,
KS Bharat,KS Bharat,
KS Rathore,KS Rathore,
KS Sharma,KS Sharma,
KS Williamson,KS Williamson,
KT Maphaka,KT Maphaka,
KV Sharma,KV Sharma,
KW Richardson,KW Richardson,
Karim Janat,Karim Janat,
Kartik Tyagi,Kartik Tyagi,
Kuldeep Yadav,Kuldeep Yadav,
Kumar Kushagra,Kumar Kushagra,
L Ngidi,L Ngidi,
L Wood,L Wood,
LB Williams,LB Williams,
LH Ferguson,LH Ferguson,
LI Meriwala,LI Meriwala,
LS Livingstone,LS Livingstone,
Lalit Yadav,Lalit Yadav,
Liam Dawson,Liam Dawson,
Liton Das,Liton Das,
Lockie Ferguson,Lockie Ferguson,
M Ashwin,M Ashwin,
M Jansen,M Jansen,
M Markande,M Markande,
M Pathirana,M Pathirana,
M Prasidh Krishna,M Prasidh Krishna,
M Shahrukh Khan,M Shahrukh Khan,
M Siddharth,M Siddharth,
M Theekshana,M Theekshana,
M Tiwari,M Tiwari,
M Vijay,M Vijay,
M Vohra,M Vohra,
MA Agarwal,MA Agarwal,
MA Starc,MA Starc,
MA Wood,MA Wood,
MC Henriques,MC Henriques,
MD Shanaka,MD Shanaka,
MG Bracewell,MG Bracewell,
MJ Henry,MJ Henry,
MJ Owen,MJ Owen,
MJ Santner,MJ Santner,
MJ Suthar,MJ Suthar,
MK Lomror,MK Lomror,
MK Pandey,MK Pandey,
MM Ali,MM Ali,
MM Sharma,MM Sharma,
MP Breetzke,MP Breetzke,
MP Stoinis,MP Stoinis,
MP Yadav,MP Yadav,
MR Marsh,MR Marsh,
MS Bhandage,MS Bhandage,
MS Dhoni,MS Dhoni,
MS Wade,MS Wade,
MW Short,MW Short,
Mandeep Singh,Mandeep Singh,
Marco Jansen,Marco Jansen,
Mark Chapman,Mark Chapman,
Matt Henry,Matt Henry,
Mayank Dagar,Mayank Dagar,
Mitchell Santner,Mitchell Santner,
Mohammad Nabi,Mohammad Nabi,
Mohammed Shami,Mohammed Shami,
Mohammed Siraj,Mohammed Siraj,
Mohit Rathee,Mohit Rathee,
Mohsin Khan,Mohsin Khan,
Monu Kumar,Monu Kumar,
Mujeeb Ur Rahman,Mujeeb Ur Rahman,
Mukesh Choudhary,Mukesh Choudhary,
Mukesh Kumar,Mukesh Kumar,
Musheer Khan,Musheer Khan,
Mustafizur Rahman,Mustafizur Rahman,
N Burger,N Burger,
N Jagadeesan,N Jagadeesan,
N Pooran,N Pooran,
N Rana,N Rana,
N Thushara,N Thushara,
N Wadhera,N Wadhera,
NA Saini,NA Saini,
NM Coulter-Nile,NM Coulter-Nile,
NS Naik,NS Naik,
NT Ellis,NT Ellis,
Naman Dhir,Naman Dhir,
Navdeep Saini,Navdeep Saini,
Naveen-ul-Haq,Naveen-ul-Haq,
Nithish Kumar Reddy,Nithish Kumar Reddy,
Noor Ahmad,Noor Ahmad,
OC McCoy,OC McCoy,
OF Smith,OF Smith,
P Dubey,P Dubey,
P Simran Singh,P Simran Singh,
PBB Rajapaksa,PBB Rajapaksa,
PD Salt,PD Salt,
PH Solanki,PH Solanki,
PHKD Mendis,PHKD Mendis,
PJ Cummins,PJ Cummins,
PJ Sangwan,PJ Sangwan,
PK Garg,PK Garg,
PN Mankad,PN Mankad,
PP Chawla,PP Chawla,
PP Shaw,PP Shaw,
PVD Chameera,PVD Chameera,
PVSN Raju,PVSN Raju,
PWA Mulder,PWA Mulder,
PWH de Silva,PWH de Silva,
Prince Yadav,Prince Yadav,
Priyansh Arya,Priyansh Arya,
Q de Kock,Q de Kock,
Quinton de Kock,Quinton de Kock,
R Ashwin,R Ashwin,
R Dhawan,R Dhawan,
R Goyal,R Goyal,
R Minz,R Minz,
R Parag,R Parag,
R Powell,R Powell,
R Ravindra,R Ravindra,
R Sai Kishore,R Sai Kishore,
R Sanjay Yadav,R Sanjay Yadav,
R Shepherd,R Shepherd,
R Tewatia,R Tewatia,
RA Bawa,RA Bawa,
RA Jadeja,RA Jadeja,
RA Tripathi,RA Tripathi,
RD Chahar,RD Chahar,
RD Gaikwad,RD Gaikwad,
RD Rickelton,RD Rickelton,
RG Sharma,RG Sharma,
RJ Gleeson,RJ Gleeson,
RJW Topley,RJW Topley,
RK Bhui,RK Bhui,
RK Singh,RK Singh,
RM Patidar,RM Patidar,
RP Meredith,RP Meredith,
RR Pant,RR Pant,
RR Rossouw,RR Rossouw,
RS Hangargekar,RS Hangargekar,
RV Patel,RV Patel,
RV Uthappa,RV Uthappa,
Rachin Ravindra,Rachin Ravindra,
Rahmanullah Gurbaz,Rahmanullah Gurbaz,
Ramandeep Singh,Ramandeep Singh,
Rashid Khan,Rashid Khan,
Rasikh Salam,Rasikh Salam,
Ravi Bishnoi,Ravi Bishnoi,
S Dhawan,S Dhawan,
S Dube,S Dube,
S Gopal,S Gopal,
S Joseph,S Joseph,
S Kaul,S Kaul,
S Nadeem,S Nadeem,
S Sandeep Warrier,S Sandeep Warrier,
SA Abbott,SA Abbott,
SA Yadav,SA Yadav,
SB Dubey,SB Dubey,
SD Hope,SD Hope,
SE Rutherford,SE Rutherford,
SH Johnson,SH Johnson,
SK Raina,SK Raina,
SK Rasheed,SK Rasheed,
SM Curran,SM Curran,
SN Khan,SN Khan,
SN Thakur,SN Thakur,
SO Hetmyer,SO Hetmyer,
SP Goswami,SP Goswami,
SP Jackson,SP Jackson,
SP Narine,SP Narine,
SPD Smith,SPD Smith,
SR Watson,SR Watson,
SS Cottrell,SS Cottrell,
SS Iyer,SS Iyer,
SS Prabhudessai,SS Prabhudessai,
SS Tiwary,SS Tiwary,
SSB Magala,SSB Magala,
SV Samson,SV Samson,
SW Billings,SW Billings,
SZ Mulani,SZ Mulani,
Sachin Baby,Sachin Baby,
Sam Curran,Sam Curran,
Sameer Rizvi,Sameer Rizvi,
Sandeep Sharma,Sandeep Sharma,
Sanju Samson,Sanju Samson,
Sanvir Singh,Sanvir Singh,
Saurav Chauhan,Saurav Chauhan,
Sediqullah Atal,Sediqullah Atal,
Shahbaz Ahmed,Shahbaz Ahmed,
Shakib Al Hasan,Shakib Al Hasan,
Shashank Singh,Shashank Singh,
Shivam Dube,Shivam Dube,
Shivam Mavi,Shivam Mavi,
Shivam Singh,Shivam Singh,
Shubman Gill,Shubman Gill,
Sikandar Raza,Sikandar Raza,
Simarjeet Singh,Simarjeet Singh,
Sumit Kumar,Sumit Kumar,
Suryakumar Yadav,Suryakumar Yadav,
Suryansh Shedge,Suryansh Shedge,
Suyash Sharma,Suyash Sharma,
Swapnil Singh,Swapnil Singh,
T Banton,T Banton,
T Kohler-Cadmore,T Kohler-Cadmore,
T Natarajan,T Natarajan,
T Shamsi,T Shamsi,
T Stubbs,T Stubbs,
TA Boult,TA Boult,
TG Southee,TG Southee,
TH David,TH David,
TK Curran,TK Curran,
TL Seifert,TL Seifert,
TM Head,TM Head,
TS Mills,TS Mills,
TU Deshpande,TU Deshpande,
Tanush Kotian,Tanush Kotian,
Tilak Varma,Tilak Varma,
Tim Seifert,Tim Seifert,
Tristan Stubbs,Tristan Stubbs,
UT Yadav,UT Yadav,
Umran Malik,Umran Malik,
Urvil Patel,Urvil Patel,
V Kaverappa,V Kaverappa,
V Kohli,V Kohli,
V Nigam,V Nigam,
V Puthur,V Puthur,
V Shankar,V Shankar,
V Suryavanshi,V Suryavanshi,
V Viyaskanth,V Viyaskanth,
VG Arora,VG Arora,
VR Aaron,VR Aaron,
VR Iyer,VR Iyer,
Vijaykumar Vyshak,Vijaykumar Vyshak,
Virat Singh,Virat Singh,
Vishnu Vinod,Vishnu Vinod,
Vivrant Sharma,Vivrant Sharma,
W O'Rourke,W O'Rourke,
WD Parnell,WD Parnell,
WG Jacks,WG Jacks,
WP Saha,WP Saha,
Washington Sundar,Washington Sundar,
Will Jacks,Will Jacks,
XC Bartlett,XC Bartlett,
YBK Jaiswal,YBK Jaiswal,
YS Chahal,YS Chahal,
YV Dhull,YV Dhull,
Yash Dayal,Yash Dayal,
Yash Thakur,Yash Thakur,
Yudhvir Singh,Yudhvir Singh,
Zeeshan Ansari,Zeeshan Ansari,
abdul-samad,abdul-samad,
abhinandan-singh,abhinandan-singh,
abhishek-sharma,abhishek-sharma,
aiden-markram,aiden-markram,
ajinkya-rahane,ajinkya-rahane,
am-ghazanfar,am-ghazanfar,
angkrish-raghuvanshi,angkrish-raghuvanshi,
aniket-verma,aniket-verma,
anrich-nortje,anrich-nortje,
anshul-kamboj,anshul-kamboj,
anukul-roy,anukul-roy,
arshdeep-singh,arshdeep-singh,
ashok-sharma,ashok-sharma,
axar-patel,axar-patel,
ayush-badoni,ayush-badoni,
ayush-mhatre,ayush-mhatre,
bhuvneshwar-kumar,bhuvneshwar-kumar,
blessing-muzarabani,blessing-muzarabani,
brijesh-sharma,brijesh-sharma,
cameron-green,cameron-green,
cooper-connolly,cooper-connolly,
corbin-bosch,corbin-bosch,
david-miller,david-miller,
david-payne,david-payne,
deepak-chahar,deepak-chahar,
devdutt-padikkal,devdutt-padikkal,
dhruv-jurel,dhruv-jurel,
eshan-malinga,eshan-malinga,
finn-allen,finn-allen,
glenn-phillips,glenn-phillips,
hardik-pandya,hardik-pandya,
harsh-dubey,harsh-dubey,
harshal-patel,harshal-patel,
heinrich-klaasen,heinrich-klaasen,
ishan-kishan,ishan-kishan,
jacob-duffy,jacob-duffy,
jamie-overton,jamie-overton,
jasprit-bumrah,jasprit-bumrah,
jaydev-unadkat,jaydev-unadkat,
jitesh-sharma,jitesh-sharma,
jofra-archer,jofra-archer,
jos-buttler,jos-buttler,
kagiso-rabada,kagiso-rabada,
kartik-sharma,kartik-sharma,
kartik-tyagi,kartik-tyagi,
khaleel-ahmed,khaleel-ahmed,
kl-rahul,kl-rahul,
krunal-pandya,krunal-pandya,
kuldeep-yadav,kuldeep-yadav,
lungi-ngidi,lungi-ngidi,
marco-jansen,marco-jansen,
marcus-stoinis,marcus-stoinis,
matt-henry,matt-henry,
matthew-short,matthew-short,
mayank-markande,mayank-markande,
mitchell-marsh,mitchell-marsh,
mitchell-santner,mitchell-santner,
mohammed-shami,mohammed-shami,
mohammed-siraj,mohammed-siraj,
mohsin-khan,mohsin-khan,
mukesh-kumar,mukesh-kumar,
mukul-choudhary,mukul-choudhary,
naman-dhir,naman-dhir,
nandre-burger,nandre-burger,
natarajan,natarajan,
nehal-wadhera,nehal-wadhera,
nicholas-pooran,nicholas-pooran,
nitish-rana,nitish-rana,
nitish-reddy,nitish-reddy,
noor-ahmad,noor-ahmad,
pathum-nissanka,pathum-nissanka,
phil-salt,phil-salt,
prabhsimran-singh,prabhsimran-singh,
prashant-veer,prashant-veer,
prasidh-krishna,prasidh-krishna,
prince-yadav,prince-yadav,
priyansh-arya,priyansh-arya,
rahul,rahul,
rahul-chahar,rahul-chahar,
rahul-tewatia,rahul-tewatia,
rajat-patidar,rajat-patidar,
ramandeep-singh,ramandeep-singh,
rashid-khan,rashid-khan,
ravi-bishnoi,ravi-bishnoi,
ravindra-jadeja,ravindra-jadeja,
rinku-singh,rinku-singh,
rishabh-pant,rishabh-pant,
riyan-parag,riyan-parag,
rohit-sharma,rohit-sharma,
romario-shepherd,romario-shepherd,
ruturaj-gaikwad,ruturaj-gaikwad,
ryan-rickelton,ryan-rickelton,
sai-sudharsan,sai-sudharsan,
salil-arora,salil-arora,
sameer-rizvi,sameer-rizvi,
sandeep-sharma,sandeep-sharma,
sanju-samson,sanju-samson,
sarfaraz-khan,sarfaraz-khan,
shahbaz-ahmed,shahbaz-ahmed,
shahrukh-khan,shahrukh-khan,
shardul-thakur,shardul-thakur,
shashank-singh,shashank-singh,
sherfane-rutherford,sherfane-rutherford,
shivam-dube,shivam-dube,
shivang-kumar,shivang-kumar,
shreyas-iyer,shreyas-iyer,
shubman-gill,shubman-gill,
sunil-narine,sunil-narine,
suryakumar-yadav,suryakumar-yadav,
suyash-sharma,suyash-sharma,
tilak-varma,tilak-varma,
tim-david,tim-david,
travis-head,travis-head,
trent-boult,trent-boult,
tristan-stubbs,tristan-stubbs,
vaibhav-arora,vaibhav-arora,
vaibhav-sooryavanshi,vaibhav-sooryavanshi,
varun-chakaravarthy,varun-chakaravarthy,
vijaykumar-vyshak,vijaykumar-vyshak,
vipraj-nigam,vipraj-nigam,
virat-kohli,virat-kohli,
washington-sundar,washington-sundar,
xavier-bartlett,xavier-bartlett,
yashasvi-jaiswal,yashasvi-jaiswal,
yuzvendra-chahal,yuzvendra-chahal,
