match_id,innings,over,ball_in_over,batter_id,non_striker_id,bowler_id,batting_team,bowling_team,runs_batter,runs_extras,extras_type,wicket,dismissal_kind,batter_out_id,strike_rate_inn,venue,date,competition
ipl2026-m5-lsg-dc,1,0,1,mitchell-marsh,,mukesh-kumar,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,0,2,rishabh-pant,mitchell-marsh,mukesh-kumar,LSG,DC,0,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,0,3,rishabh-pant,mitchell-marsh,mukesh-kumar,LSG,DC,4,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,0,4,rishabh-pant,mitchell-marsh,mukesh-kumar,LSG,DC,0,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,0,5,rishabh-pant,mitchell-marsh,mukesh-kumar,LSG,DC,0,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,0,5,rishabh-pant,mitchell-marsh,mukesh-kumar,LSG,DC,0,1,wide,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,0,6,rishabh-pant,mitchell-marsh,mukesh-kumar,LSG,DC,0,0,,True,bowled,rishabh-pant,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,1,1,mitchell-marsh,,lungi-ngidi,LSG,DC,4,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,1,2,mitchell-marsh,,lungi-ngidi,LSG,DC,0,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,1,3,mitchell-marsh,,lungi-ngidi,LSG,DC,4,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,1,4,mitchell-marsh,,lungi-ngidi,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,1,5,rishabh-pant,mitchell-marsh,lungi-ngidi,LSG,DC,0,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,1,6,rishabh-pant,mitchell-marsh,lungi-ngidi,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,2,1,rishabh-pant,mitchell-marsh,mukesh-kumar,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,2,2,mitchell-marsh,rishabh-pant,mukesh-kumar,LSG,DC,0,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,2,3,mitchell-marsh,rishabh-pant,mukesh-kumar,LSG,DC,0,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,2,4,mitchell-marsh,rishabh-pant,mukesh-kumar,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,2,5,rishabh-pant,mitchell-marsh,mukesh-kumar,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,2,6,mitchell-marsh,rishabh-pant,mukesh-kumar,LSG,DC,0,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,3,1,aiden-markram,mitchell-marsh,axar-patel,LSG,DC,0,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,3,2,aiden-markram,mitchell-marsh,axar-patel,LSG,DC,0,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,3,3,aiden-markram,mitchell-marsh,axar-patel,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,3,4,mitchell-marsh,aiden-markram,axar-patel,LSG,DC,0,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,3,5,mitchell-marsh,aiden-markram,axar-patel,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,3,6,aiden-markram,mitchell-marsh,axar-patel,LSG,DC,4,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,4,1,mitchell-marsh,aiden-markram,mukesh-kumar,LSG,DC,0,1,legbye,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,4,2,mitchell-marsh,aiden-markram,mukesh-kumar,LSG,DC,6,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,4,3,mitchell-marsh,aiden-markram,mukesh-kumar,LSG,DC,0,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,4,3,mitchell-marsh,aiden-markram,mukesh-kumar,LSG,DC,0,1,wide,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,4,4,mitchell-marsh,aiden-markram,mukesh-kumar,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,4,5,aiden-markram,mitchell-marsh,mukesh-kumar,LSG,DC,0,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,4,6,aiden-markram,mitchell-marsh,mukesh-kumar,LSG,DC,0,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,5,1,mitchell-marsh,aiden-markram,axar-patel,LSG,DC,0,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,5,2,mitchell-marsh,aiden-markram,axar-patel,LSG,DC,4,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,5,3,mitchell-marsh,aiden-markram,axar-patel,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,5,4,aiden-markram,mitchell-marsh,axar-patel,LSG,DC,6,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,5,5,aiden-markram,mitchell-marsh,axar-patel,LSG,DC,0,0,,True,bowled,aiden-markram,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,5,6,ayush-badoni,mitchell-marsh,axar-patel,LSG,DC,0,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,6,1,mitchell-marsh,ayush-badoni,natarajan,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,6,2,ayush-badoni,mitchell-marsh,natarajan,LSG,DC,0,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,6,3,ayush-badoni,mitchell-marsh,natarajan,LSG,DC,0,0,,True,caught,ayush-badoni,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,6,4,nicholas-pooran,mitchell-marsh,natarajan,LSG,DC,0,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,6,5,nicholas-pooran,mitchell-marsh,natarajan,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,6,6,mitchell-marsh,nicholas-pooran,natarajan,LSG,DC,0,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,7,1,nicholas-pooran,mitchell-marsh,kuldeep-yadav,LSG,DC,4,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,7,2,nicholas-pooran,mitchell-marsh,kuldeep-yadav,LSG,DC,0,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,7,3,nicholas-pooran,mitchell-marsh,kuldeep-yadav,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,7,4,mitchell-marsh,nicholas-pooran,kuldeep-yadav,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,7,5,nicholas-pooran,mitchell-marsh,kuldeep-yadav,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,7,6,mitchell-marsh,nicholas-pooran,kuldeep-yadav,LSG,DC,0,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,8,1,nicholas-pooran,mitchell-marsh,lungi-ngidi,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,8,2,mitchell-marsh,nicholas-pooran,lungi-ngidi,LSG,DC,0,1,wide,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,8,3,mitchell-marsh,nicholas-pooran,lungi-ngidi,LSG,DC,6,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,8,4,mitchell-marsh,nicholas-pooran,lungi-ngidi,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,8,5,nicholas-pooran,mitchell-marsh,lungi-ngidi,LSG,DC,0,0,,True,bowled,nicholas-pooran,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,8,6,abdul-samad,mitchell-marsh,lungi-ngidi,LSG,DC,0,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,9,1,mitchell-marsh,abdul-samad,kuldeep-yadav,LSG,DC,6,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,9,2,mitchell-marsh,abdul-samad,kuldeep-yadav,LSG,DC,0,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,9,3,mitchell-marsh,abdul-samad,kuldeep-yadav,LSG,DC,0,0,,True,caught,mitchell-marsh,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,9,4,mukul-choudhary,abdul-samad,kuldeep-yadav,LSG,DC,4,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,9,5,mukul-choudhary,abdul-samad,kuldeep-yadav,LSG,DC,4,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,9,6,mukul-choudhary,abdul-samad,kuldeep-yadav,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,10,1,mukul-choudhary,abdul-samad,axar-patel,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,10,2,abdul-samad,mukul-choudhary,axar-patel,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,10,3,mukul-choudhary,abdul-samad,axar-patel,LSG,DC,0,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,10,4,mukul-choudhary,abdul-samad,axar-patel,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,10,5,abdul-samad,mukul-choudhary,axar-patel,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,10,6,mukul-choudhary,abdul-samad,axar-patel,LSG,DC,0,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,11,1,abdul-samad,mukul-choudhary,vipraj-nigam,LSG,DC,0,1,legbye,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,11,2,abdul-samad,mukul-choudhary,vipraj-nigam,LSG,DC,4,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,11,3,abdul-samad,mukul-choudhary,vipraj-nigam,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,11,4,mukul-choudhary,abdul-samad,vipraj-nigam,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,11,5,abdul-samad,mukul-choudhary,vipraj-nigam,LSG,DC,2,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,11,6,abdul-samad,mukul-choudhary,vipraj-nigam,LSG,DC,0,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,12,1,mukul-choudhary,abdul-samad,natarajan,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,12,2,abdul-samad,mukul-choudhary,natarajan,LSG,DC,2,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,12,3,abdul-samad,mukul-choudhary,natarajan,LSG,DC,0,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,12,4,abdul-samad,mukul-choudhary,natarajan,LSG,DC,4,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,12,5,abdul-samad,mukul-choudhary,natarajan,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,12,6,mukul-choudhary,abdul-samad,natarajan,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,13,1,mukul-choudhary,abdul-samad,kuldeep-yadav,LSG,DC,0,0,,True,caught,mukul-choudhary,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,13,2,shahbaz-ahmed,abdul-samad,kuldeep-yadav,LSG,DC,0,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,13,3,shahbaz-ahmed,abdul-samad,kuldeep-yadav,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,13,4,abdul-samad,shahbaz-ahmed,kuldeep-yadav,LSG,DC,2,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,13,5,abdul-samad,shahbaz-ahmed,kuldeep-yadav,LSG,DC,0,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,13,6,abdul-samad,shahbaz-ahmed,kuldeep-yadav,LSG,DC,0,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,14,1,shahbaz-ahmed,abdul-samad,natarajan,LSG,DC,0,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,14,2,shahbaz-ahmed,abdul-samad,natarajan,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,14,3,abdul-samad,shahbaz-ahmed,natarajan,LSG,DC,6,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,14,4,abdul-samad,shahbaz-ahmed,natarajan,LSG,DC,4,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,14,5,abdul-samad,shahbaz-ahmed,natarajan,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,14,6,shahbaz-ahmed,abdul-samad,natarajan,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,15,1,shahbaz-ahmed,abdul-samad,kuldeep-yadav,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,15,2,abdul-samad,shahbaz-ahmed,kuldeep-yadav,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,15,3,shahbaz-ahmed,abdul-samad,kuldeep-yadav,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,15,4,abdul-samad,shahbaz-ahmed,kuldeep-yadav,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,15,5,shahbaz-ahmed,abdul-samad,kuldeep-yadav,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,15,6,abdul-samad,shahbaz-ahmed,kuldeep-yadav,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,16,1,abdul-samad,shahbaz-ahmed,lungi-ngidi,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,16,2,shahbaz-ahmed,abdul-samad,lungi-ngidi,LSG,DC,4,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,16,3,shahbaz-ahmed,abdul-samad,lungi-ngidi,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,16,4,abdul-samad,shahbaz-ahmed,lungi-ngidi,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,16,5,shahbaz-ahmed,abdul-samad,lungi-ngidi,LSG,DC,0,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,16,6,shahbaz-ahmed,abdul-samad,lungi-ngidi,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,17,1,shahbaz-ahmed,abdul-samad,natarajan,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,17,2,abdul-samad,shahbaz-ahmed,natarajan,LSG,DC,2,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,17,3,abdul-samad,shahbaz-ahmed,natarajan,LSG,DC,0,0,,True,caught,abdul-samad,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,17,4,mohammed-shami,shahbaz-ahmed,natarajan,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,17,5,shahbaz-ahmed,mohammed-shami,natarajan,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,17,6,mohammed-shami,shahbaz-ahmed,natarajan,LSG,DC,0,0,,True,caught,mohammed-shami,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,18,1,shahbaz-ahmed,,lungi-ngidi,LSG,DC,0,0,,False,,,,Lucknow,2026-04-01,IPL
ipl2026-m5-lsg-dc,1,18,2,shahbaz-ahmed,,lungi-ngidi,LSG,DC,1,0,,False,,,,Lucknow,2026-04-01,IPL
